Beer - Heinekin,4.2
Beef - Ox Tongue,73.4
Beans - French,21.7
Cut Wakame - Hanawakaba,94.5
Wine - Piper Heidsieck Brut,81.7
Bagel - Whole White Sesame,94.6
Tart - Lemon,7.0
Beans - Wax,65.2
"Wine - Saint - Bris 2002, Sauv",84.2
Seaweed Green Sheets,11.8
Guinea Fowl,2.1
Honey - Lavender,63.8
"Wine - Red, Gallo, Merlot",76.5
Crackers - Melba Toast,92.0
Beef - Top Butt,52.9
Pepper - Cubanelle,1.2
Bread - Pita,42.0
Ham - Virginia,36.5
The Pop Shoppe - Root Beer,10.1
Crush - Cream Soda,30.3
Assorted Desserts,85.2
Wine - Rosso Toscano Igt,71.7
Soup Campbells Beef With Veg,36.5
Chick Peas - Dried,70.9
Wine - Ej Gallo Sonoma,19.3
Olives - Stuffed,21.0
Turkey Leg With Drum And Thigh,8.9
English Muffin,42.4
Sausage - Breakfast,5.7
Cheese - Shred Cheddar / Mozza,20.9
"Nut - Chestnuts, Whole",64.5
Nantucket - Pomegranate Pear,89.2
Chevere Logs,48.6
Sauce - Oyster,90.8
Cheese - Pied De Vents,1.3
Bay Leaf Fresh,50.4
Ginger - Fresh,67.8
"Fish - Atlantic Salmon, Cold",64.9
Wine - Ej Gallo Sierra Valley,79.4
Mix - Cocktail Ice Cream,32.6
Spice - Chili Powder Mexican,22.1
Thyme - Fresh,56.0
Cookie - Oatmeal,50.1
Island Oasis - Ice Cream Mix,86.7
"Liners - Banana, Paper",80.8
Yogurt - Plain,27.4
"C - Plus, Orange",13.6
Rabbit - Frozen,21.1
Vaccum Bag - 14x20,56.5
Piping - Bags Quizna,24.8
Pate - Peppercorn,93.3
Ecolab - Hand Soap Form Antibac,71.8
"Shrimp - 16/20, Iqf, Shell On",18.1
Vinegar - Tarragon,35.2
"Pasta - Lasagna, Dry",66.3
"Pork - Back, Short Cut, Boneless",91.4
"Sauce - Black Current, Dry Mix",33.3
Veal - Liver,35.0
Pie Shell - 9,48.3
"Soup - Campbells, Lentil",80.7
Bread Foccacia Whole,61.1
Chevril,51.2
Oregano - Fresh,41.8
Cheese - Montery Jack,21.7
Salt - Kosher,75.2
"Soup - Knorr, Chicken Noodle",13.2
Tuna - Bluefin,11.2
"Sprite, Diet - 355ml",74.3
Gooseberry,50.7
Macaroons - Homestyle Two Bit,30.9
Cabbage - Nappa,85.2
Tea - Black Currant,90.3
